Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2018 GMC Acadia SLE-2,GMC,2018,"$16,500","22,910",White,Gray,Automatic,AWD
2017 BMW 750 i xDrive,BMW,2017,"$36,995","47,688",White,Black,Automatic,AWD
2012 Jeep Liberty Sport,Jeep,2012,"$5,900","118,141",Black,Gray,Automatic,4x4/4-wheel drive
2018 Chevrolet Malibu LT,Chevrolet,2018,"$10,000","25,167",Beige,Black,Automatic,FWD
2020 Nissan Altima 2.5 S,Nissan,2020,"$17,500",5,Gray,Other,CVT,FWD
2019 Dodge Charger R/T,Dodge,2019,"$28,795","9,068",Gray,Black,Automatic,RWD
2018 BMW X5 xDrive35d,BMW,2018,"$39,900","27,646",White,Black,Automatic,AWD
2018 Dodge Grand Caravan GT,Dodge,2018,"$15,490","48,507",White,Black,Automatic,FWD
2017 Audi S3 2.0T Premium Plus,Audi,2017,"$27,800","39,738",White,Red,Automatic,AWD
2014 Nissan Maxima S,Nissan,2014,"$8,999","74,272",White,Brown,CVT,FWD
2011 Volvo S40,Volvo,2011,"$8,995","55,035",Gray,Black,Automatic,FWD
2017 Toyota Corolla SE,Toyota,2017,"$11,995","32,874",White,Black,Automatic,FWD
2017 Mercedes-Benz AMG E 43 Base 4MATIC,Mercedes-Benz,2017,"$45,340","26,607",Black,Black,Automatic,AWD
2001 Mercedes-Benz CLK430,Mercedes-Benz,2001,"$7,500","76,900",Red,Gray,Automatic,RWD
2019 Volkswagen Jetta 1.4T S,Volkswagen,2019,"$12,900","11,619",White,Black,Automatic,FWD
2017 Maserati Ghibli S Q4,Maserati,2017,"$33,998","21,939",Blue,Beige,Automatic,AWD
2017 Mercedes-Benz GLC 300 4MATIC Coupe,Mercedes-Benz,2017,"$32,995","39,344",Black,Red,Automatic,AWD
2017 Jaguar XF 35t R-Sport,Jaguar,2017,"$26,562","44,519",Gray,Black,Automatic,AWD
2017 Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz,2017,"$21,268","30,227",White,Black,Automatic,AWD
2016 BMW 640 Gran Coupe i xDrive,BMW,2016,"$32,998","26,873",White,Black,Automatic,AWD
2016 Honda CR-V SE,Honda,2016,"$13,870","38,489",White,Beige,CVT,AWD
2017 Mazda CX-3 Grand Touring,Mazda,2017,"$18,373","13,467",Blue,Black,Automatic,AWD
2017 Hyundai Elantra SE,Hyundai,2017,"$11,150","8,500",Gray,Beige,Automatic,FWD
2014 RAM ProMaster 2500 Tradesman,RAM,2014,"$17,995","23,399",White,Gray,Automatic,FWD
2019 Cadillac CT6 3.0 Twin Turbo Sport,Cadillac,2019,"$55,995","21,435",Black,Beige,Automatic,AWD
