Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2019 Ford Transit Connect XLT,Ford,2019,"$22,988","1,967",Gray,Black,Automatic,FWD
2019 Ford Explorer Limited,Ford,2019,"$32,800","24,749",Silver,Black,Automatic,4x4/4-wheel drive
2019 MINI Countryman Cooper,MINI,2019,"$22,801","23,048",White,Black,Automatic,FWD
2017 Honda HR-V LX,Honda,2017,"$18,279","33,311",Black,Black,CVT,AWD
2019 BMW X2 xDrive28i,BMW,2019,"$39,645","6,913",Blue,Other,Automatic,AWD
2004 Porsche Cayenne Turbo,Porsche,2004,"$6,500","131,000",Gold,Beige,Automatic,AWD
2013 Volkswagen Jetta 2.0L TDI SEL,Volkswagen,2013,"$9,631","80,887",Silver,Black,Automatic,FWD
2017 Ford Explorer XLT,Ford,2017,"$24,748","26,119",Red,Black,Automatic,4x4/4-wheel drive
2017 Dodge Grand Caravan SXT,Dodge,2017,"$10,231","107,368",White,Black,Automatic,FWD
2015 Chevrolet Impala Limited LTZ,Chevrolet,2015,"$11,999","65,419",Gray,Black,Automatic,FWD
2013 Hyundai Sonata GLS,Hyundai,2013,"$7,499","110,803",White,Beige,Automatic,FWD
2015 Ford F-350 Lariat Super Duty,Ford,2015,"$49,999","31,878",Gray,Black,Automatic,4x4/4-wheel drive
2014 Mazda Mazda3 i Touring,Mazda,2014,"$11,999","64,961",White,Black,Automatic,FWD
2012 Toyota Venza XLE,Toyota,2012,"$9,209","160,522",Silver,Gray,Automatic,FWD
2010 Toyota Venza,Toyota,2010,"$10,950","162,164",Silver,White,Automatic,AWD
2016 Chevrolet Equinox LTZ,Chevrolet,2016,"$13,985","75,526",Silver,Black,Automatic,AWD
2008 Saturn Vue XR,Saturn,2008,"$5,999","63,616",Gray,Gray,Automatic,FWD
2017 Honda Accord Hybrid Touring,Honda,2017,"$16,989","125,520",White,White,CVT,FWD
2018 Nissan Versa 1.6 SV,Nissan,2018,"$9,777","62,120",Silver,Gray,Automatic,FWD
2017 Chevrolet Malibu L,Chevrolet,2017,"$18,796","5,588",White,Beige,Automatic,FWD
2017 Volkswagen Jetta 1.4T S,Volkswagen,2017,"$11,997","25,755",Blue,Black,Automatic,FWD
2014 Honda Accord Touring,Honda,2014,"$16,927","59,553",White,White,Automatic,FWD
2019 Subaru Outback 2.5i,Subaru,2019,"$26,997","5,706",Red,Green,CVT,AWD
