Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2015 Cadillac Escalade Platinum,Cadillac,2015,"$42,600","63,570",Black,Brown,Automatic,4x4/4-wheel drive
2008 MINI Cooper S,MINI,2008,"$6,599","69,820",White,Black,Other / Unknown,FWD
2016 BMW M5 Base,BMW,2016,"$45,991","39,613",Other,Other,Automatic,RWD
2020 Audi Q5 45 Premium,Audi,2020,"$37,991","3,967",Black,Black,Automatic,AWD
2018 Hyundai Santa Fe Sport 2.4L,Hyundai,2018,"$15,899","40,917",Blue,Beige,Automatic,FWD
2013 BMW X5 xDrive50i,BMW,2013,"$21,881","68,128",Black,Black,Automatic,AWD
2016 Hyundai Tucson Eco,Hyundai,2016,"$12,351","42,662",Gray,Black,Automatic,FWD
2010 Ford Focus SE,Ford,2010,"$6,000","43,830",Black,Other,Manual,FWD
2016 Jaguar XJ XJ R-Sport,Jaguar,2016,"$31,900","35,007",Gray,Black,Automatic,RWD
2017 Nissan Sentra S,Nissan,2017,"$9,999","16,233",Silver,Gray,Manual,FWD
2017 BMW X3 sDrive28i,BMW,2017,"$23,881","28,279",Gray,Black,Automatic,RWD
2018 BMW i3 94 Ah w/Range Extender,BMW,2018,"$31,995","14,060",Red,Other,Automatic,RWD
2016 Toyota Prius TECHNOLOGY,Toyota,2016,"$16,999","31,000",Black,Gray,CVT,FWD
2012 Chevrolet Tahoe LT,Chevrolet,2012,"$14,999","128,943",White,Black,Automatic,4x4/4-wheel drive
2015 Honda Accord EX-L,Honda,2015,"$14,499","52,201",White,Black,CVT,FWD
2018 Nissan Murano SV,Nissan,2018,"$23,995","31,568",Black,Other,CVT,FWD
2017 Nissan Rogue S,Nissan,2017,"$12,995","35,554",Silver,Gray,CVT,FWD
2013 BMW M6 Base,BMW,2013,"$30,988","66,820",Black,Black,Automatic,RWD
2017 Nissan Versa 1.6 SV,Nissan,2017,"$7,495","72,844",Gray,Gray,CVT,FWD
2015 Chrysler 200 Limited,Chrysler,2015,"$9,900","93,536",White,Black,Automatic,FWD
2008 BMW X5 4.8i,BMW,2008,"$9,999","69,000",Gray,Black,Automatic,AWD
2015 Chevrolet Captiva Sport 2LS,Chevrolet,2015,"$12,595","46,344",Silver,Black,Automatic,FWD
2011 Nissan Versa 1.8 S,Nissan,2011,"$4,988","84,456",Silver,Black,Automatic,FWD
2013 GMC Terrain SLT-1,GMC,2013,"$8,997","135,636",Gray,Gray,Automatic,FWD
2017 Hyundai Elantra SE,Hyundai,2017,"$12,595","48,500",Gray,Gray,Automatic,FWD
2014 Hyundai Accent GLS,Hyundai,2014,"$4,995","122,970",Gray,Gray,Automatic,FWD
2016 Dodge Journey SXT,Dodge,2016,"$13,995","59,879",White,Black,Automatic,FWD
2014 Volkswagen Passat 2.0L TDI SE,Volkswagen,2014,"$13,421","22,820",White,Black,Automatic,FWD
2004 Land Rover Discovery SE,Land,2004,"$14,900","119,814",Silver,Black,Automatic,4x4/4-wheel drive
2016 BMW 535 i,BMW,2016,"$20,929","36,429",Black,Black,Automatic,RWD
2017 Land Rover Discovery Sport SE,Land,2017,"$22,996","33,509",Black,Black,Automatic,4x4/4-wheel drive
2015 Kia Forte EX,Kia,2015,"$11,500","20,714",White,Black,Automatic,FWD
2018 Mercedes-Benz E 300,Mercedes-Benz,2018,"$34,481","16,194",Gray,Black,Automatic,RWD
2016 BMW 340 i,BMW,2016,"$21,650","31,611",White,Beige,Automatic,RWD
2017 BMW 230 i,BMW,2017,"$28,999","16,208",Black,Black,Automatic,RWD
2017 INFINITI Q50 3.0T Red Sport 400,INFINITI,2017,"$26,250","35,409",Black,Gray,Automatic,RWD
