Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2019 Nissan Kicks SV,Nissan,2019,"$16,899","4,498",Gray,Gray,CVT,FWD
2017 Nissan Versa 1.6 SV,Nissan,2017,"$5,495","96,055",Silver,Other,CVT,FWD
2013 Nissan Sentra SV,Nissan,2013,"$5,300","88,000",Gray,Black,CVT,FWD
2016 Hyundai Veloster Base,Hyundai,2016,"$9,998","64,500",Blue,Black,Automatic,FWD
2016 Ford Fusion S,Ford,2016,"$12,757","39,964",Brown,Beige,Automatic,FWD
2020 BMW M340 i,BMW,2020,"$50,981","2,843",Black,Black,Automatic,RWD
2017 Maserati Levante S,Maserati,2017,"$50,998","34,925",Black,Black,Automatic,AWD
2018 Nissan Sentra SV,Nissan,2018,"$13,198","38,684",Black,Gray,CVT,FWD
2019 Ford Explorer Limited,Ford,2019,"$26,991","29,603",Black,Black,Automatic,FWD
2018 Ford F-150 XLT,Ford,2018,"$24,799","35,522",Gray,Black,Automatic,RWD
2018 Ford Transit-350 T-350,Ford,2018,"$21,995","61,519",White,Other,Automatic,RWD
2017 Nissan Armada Platinum,Nissan,2017,"$31,711","53,860",Gray,Gray,Automatic,RWD
2020 Mercedes-Benz GLE 350 Base,Mercedes-Benz,2020,"$46,987","14,645",Black,Black,Automatic,AWD
2018 Toyota Avalon Limited,Toyota,2018,"$26,100","27,619",White,Gray,Automatic,FWD
2017 Cadillac CTS 3.6L Luxury,Cadillac,2017,"$26,391","32,559",Black,Black,Automatic,RWD
2013 Audi allroad 2.0T Premium Plus quattro,Audi,2013,"$11,990","105,381",Black,Beige,Automatic,AWD
2017 Chevrolet Equinox LT,Chevrolet,2017,"$13,400","47,483",Blue,Black,Automatic,FWD
2016 Hyundai Sonata SE,Hyundai,2016,"$10,663","58,762",Blue,Gray,Automatic,FWD
2011 Chevrolet Cruze 2LT,Chevrolet,2011,"$4,943","139,608",White,Brown,Automatic,FWD
2018 Audi SQ5 3.0T Prestige,Audi,2018,"$39,945","42,326",White,Black,Automatic,AWD
2014 Maserati Quattroporte GTS,Maserati,2014,"$22,945","75,280",White,Gray,Automatic,RWD
2018 Chevrolet Silverado 2500 LT,Chevrolet,2018,"$33,945","27,426",Black,Black,Automatic,RWD
2009 Ford Flex SEL,Ford,2009,"$4,500","228,455",Black,Black,Automatic,FWD
2016 Nissan Altima 2.5 S,Nissan,2016,"$12,450","61,594",White,Gray,CVT,FWD
2016 Dodge Dart SE Aero,Dodge,2016,"$8,950","64,280",Gray,Gray,Manual,FWD
2013 Jaguar XF I4 T,Jaguar,2013,"$16,950","53,225",Black,Gray,Automatic,RWD
2017 Hyundai Santa Fe Sport 2.0T Ultimate,Hyundai,2017,"$18,391","62,968",Black,Black,Automatic,FWD
2016 Hyundai Sonata Hybrid Limited,Hyundai,2016,"$15,991","29,858",White,Gray,Automatic,FWD
2015 Nissan Juke S,Nissan,2015,"$11,450","69,673",Blue,Gray,CVT,FWD
2016 Ford Flex Limited,Ford,2016,"$19,948","43,011",White,Beige,Automatic,FWD
2017 Dodge Journey SXT,Dodge,2017,"$14,995","23,642",Black,Black,Automatic,FWD
2018 Cadillac ATS 2.0L Turbo Luxury,Cadillac,2018,"$17,991","44,255",Silver,Black,Automatic,RWD
2018 Honda Accord Sport,Honda,2018,"$21,591","34,932",Black,Black,CVT,FWD
2017 Nissan Maxima 3.5 SL,Nissan,2017,"$17,839","60,598",White,Gray,CVT,FWD
2017 BMW 430 Gran Coupe i,BMW,2017,"$27,956","9,142",Black,Brown,Automatic,RWD
2014 Jeep Wrangler Unlimited Altitude,Jeep,2014,"$25,900","115,363",White,Black,Automatic,4x4/4-wheel drive
2013 Nissan Maxima S,Nissan,2013,"$11,995","88,762",White,Black,CVT,FWD
2012 Toyota Prius v Two,Toyota,2012,"$12,990","98,442",Blue,Beige,CVT,FWD
2018 Ford Fusion SE,Ford,2018,"$14,990","24,952",White,Black,Automatic,FWD
2018 INFINITI Q70 3.7 LUXE,INFINITI,2018,"$23,762","32,633",Silver,Other,Automatic,RWD
2017 Volvo S90 T6 Inscription,Volvo,2017,"$33,790","16,093",Black,Beige,Automatic,AWD
2014 Ford Focus SE,Ford,2014,"$9,990","54,645",Blue,Black,Automatic,FWD
2014 Mercedes-Benz GLK 350,Mercedes-Benz,2014,"$11,850","123,000",White,Beige,Automatic,RWD
2010 Nissan Armada SE,Nissan,2010,"$7,250","170,000",Black,Gray,Automatic,RWD
2015 Nissan Leaf S,Nissan,2015,"$8,291","52,235",Black,Black,Automatic,FWD
2012 Chevrolet Traverse LT,Chevrolet,2012,"$10,491","68,424",White,Black,Automatic,FWD
2018 Chevrolet Silverado 3500 LT,Chevrolet,2018,"$44,991","15,326",Black,Black,Automatic,4x4/4-wheel drive
2015 Volkswagen Golf GTI AUTOBAHN,Volkswagen,2015,"$13,991","73,985",White,Black,Automatic,FWD
2012 Chevrolet Equinox 1LT,Chevrolet,2012,"$9,950","67,035",Gray,Black,Automatic,FWD
2018 BMW 540 i,BMW,2018,"$38,995","36,238",Other,Black,Automatic,RWD
2016 BMW 340 i,BMW,2016,"$25,995","33,457",Red,Black,Automatic,RWD
2018 Audi S3 2.0T Prestige,Audi,2018,"$33,995","37,372",Blue,Black,Automatic,AWD
2016 Mercedes-Benz CLA 250,Mercedes-Benz,2016,"$20,995","31,053",Red,Black,Automatic,FWD
2017 Lincoln MKC Reserve,Lincoln,2017,"$20,995","15,525",Blue,Black,Automatic,FWD
2019 Honda Accord Sport,Honda,2019,"$21,900","12,327",White,Black,CVT,FWD
