Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Mercedes-Benz GLC 300 4MATIC Coupe,Mercedes-Benz,2017,"$40,426","16,667",Gray,Black,Automatic,AWD
2018 Ford Taurus SEL,Ford,2018,"$16,520","33,570",Red,Black,Automatic,FWD
2016 BMW 528 i xDrive,BMW,2016,"$22,977","31,758",Gray,Black,Automatic,AWD
2011 Chevrolet Silverado 2500 LT,Chevrolet,2011,"$22,577","65,214",Blue,Black,Automatic,RWD
2019 Ford Explorer sport,Ford,2019,"$33,300","19,367",Silver,Black,Automatic,4x4/4-wheel drive
2011 Cadillac SRX Luxury Collection,Cadillac,2011,"$9,995","112,521",Gray,Black,Automatic,FWD
2012 Porsche Panamera 4,Porsche,2012,"$25,985","77,005",Gray,Black,Automatic,AWD
2019 Nissan Pathfinder SV,Nissan,2019,"$26,000","9,933",Red,Gray,CVT,4x4/4-wheel drive
2014 Chevrolet Impala Limited LTZ,Chevrolet,2014,"$8,900","72,505",Red,Black,Automatic,FWD
2018 Hyundai Elantra SEL,Hyundai,2018,"$12,000","32,582",Black,Gray,Automatic,FWD
2019 Dodge Durango SXT,Dodge,2019,"$31,995","21,174",Black,Black,Automatic,AWD
2016 BMW X4 xDrive28i,BMW,2016,"$23,900","64,656",White,White,Automatic,AWD
2015 Ford Taurus SEL,Ford,2015,"$10,000","90,672",Silver,Black,Automatic,AWD
2006 Nissan Murano,Nissan,2006,"$3,888","166,136",White,Other,CVT,AWD
2013 Ford Sedan Police Interceptor Base,Ford,2013,"$9,595","77,852",White,Gray,Automatic,FWD
2014 Maserati Ghibli Base,Maserati,2014,"$21,985","44,597",Gray,Brown,Automatic,RWD
2013 Ford F-150 Limited,Ford,2013,"$19,995","101,326",Black,Black,Automatic,4x4/4-wheel drive
2019 Nissan Altima 2.5 SV,Nissan,2019,"$24,900",15,Silver,Gray,CVT,AWD
2019 Chevrolet Malibu LT,Chevrolet,2019,"$15,684","29,605",Black,Black,CVT,FWD
2018 Nissan Sentra S,Nissan,2018,"$9,995","88,776",Gray,Gray,CVT,FWD
2012 Chrysler 200 Touring,Chrysler,2012,"$8,988","100,551",Red,Black,Automatic,FWD
2008 Land Rover Range Rover Sport Supercharged,Land,2008,"$8,492","137,312",Blue,Beige,Automatic,4x4/4-wheel drive
2008 Porsche Cayenne S,Porsche,2008,"$10,900","92,769",Black,Black,Automatic,AWD
2005 Acura RL 3.5,Acura,2005,"$4,295","200,544",Gray,Black,Automatic,AWD
2012 Chevrolet Sonic LS,Chevrolet,2012,"$5,995","83,927",White,Gray,Automatic,FWD
2018 Buick Envision Premium II,Buick,2018,"$26,972","27,126",White,Beige,Automatic,AWD
2018 Dodge Journey GT,Dodge,2018,"$19,994","27,770",Black,Black,Automatic,AWD
2005 Ford Expedition Eddie Bauer,Ford,2005,"$8,900","89,470",Black,Beige,Automatic,RWD
2019 Honda Pilot LX,Honda,2019,"$26,442","6,878",Gray,Gray,Automatic,AWD
2019 Ford Flex SEL,Ford,2019,"$25,977","18,279",White,Black,Automatic,AWD
2019 Volkswagen Tiguan 2.0T SE,Volkswagen,2019,"$23,495","18,865",White,Black,Automatic,FWD
2019 Subaru Legacy 2.5i,Subaru,2019,"$18,476","2,329",Silver,Black,CVT,AWD
2016 Hyundai Santa Fe Sport 2.4L,Hyundai,2016,"$16,846","33,583",Black,Gray,Automatic,FWD
2017 Mercedes-Benz AMG C 43 Base 4MATIC,Mercedes-Benz,2017,"$35,500","30,701",White,Black,Automatic,AWD
2018 Nissan Maxima 3.5 SV,Nissan,2018,"$18,900","39,312",Silver,Black,CVT,FWD
2014 Dodge Dart SXT,Dodge,2014,"$12,600","63,397",Black,Black,Automatic,FWD
2004 Lexus ES 330,Lexus,2004,"$3,499","167,000",Gray,Black,Automatic,FWD
2017 Hyundai Elantra SE,Hyundai,2017,"$7,390","76,067",White,Beige,Automatic,FWD
2019 Chrysler Pacifica Limited,Chrysler,2019,"$29,900","27,951",Silver,Black,Automatic,FWD
2019 Kia Sedona EX,Kia,2019,"$23,990","22,323",Silver,Beige,Automatic,FWD
2004 Lexus RX 330,Lexus,2004,"$6,480","145,727",Silver,Black,Automatic,AWD
2020 GMC Acadia AT4,GMC,2020,"$37,800","1,369",Black,Black,Automatic,AWD
2019 Chrysler 300 S,Chrysler,2019,"$19,590","33,877",Black,Black,Automatic,RWD
2017 Nissan Maxima 3.5 S,Nissan,2017,"$19,995","34,963",Black,Gray,CVT,FWD
2019 BMW 530 i xDrive,BMW,2019,"$36,990","13,369",Gray,Other,Automatic,AWD
2018 INFINITI QX80 Base,INFINITI,2018,"$35,990","34,525",Beige,Black,Automatic,RWD
2019 Toyota Highlander XLE,Toyota,2019,"$36,272","2,165",White,Gray,Automatic,AWD
2012 Audi A7 3.0T Prestige quattro,Audi,2012,"$13,999","122,677",Gray,Black,Automatic,AWD
2017 Chrysler Pacifica Touring-L,Chrysler,2017,"$21,249","35,128",Gray,Other,Automatic,FWD
2019 Nissan Armada Platinum,Nissan,2019,"$44,611","13,456",Gray,Gray,Automatic,AWD
2018 Nissan Sentra S,Nissan,2018,"$11,131","36,529",Gray,Gray,Automatic,FWD
2017 Nissan Maxima 3.5 S,Nissan,2017,"$17,595","29,375",Black,Gray,CVT,FWD
2017 Mazda CX-9 Touring,Mazda,2017,"$22,000","19,415",White,Black,Automatic,AWD
2012 Audi A8 L 4.2 quattro,Audi,2012,"$19,980","63,872",Blue,Black,Automatic,AWD
2014 Volkswagen Passat 2.5L SE,Volkswagen,2014,"$7,700","75,508",Black,Black,Automatic,FWD
2015 Nissan Murano SL,Nissan,2015,"$18,500","43,523",Red,Black,CVT,AWD
2012 Volkswagen Jetta SEL,Volkswagen,2012,"$4,900","129,047",Black,Beige,Automatic,FWD
2014 Maserati Quattroporte S Q4,Maserati,2014,"$29,500","20,700",Black,Brown,Automatic,AWD
2017 Audi A5 Sport,Audi,2017,"$27,695","19,608",Blue,Black,Automatic,AWD
2017 Audi A8 3.0T L,Audi,2017,"$32,499","56,280",Black,Black,Automatic,AWD
2020 Toyota Sienna XLE,Toyota,2020,"$29,200","17,252",Black,Gray,Automatic,FWD
2016 Buick LaCrosse Leather,Buick,2016,"$17,941","38,959",Red,Brown,Automatic,FWD
2018 Nissan Sentra S,Nissan,2018,"$11,500","36,095",Gray,Gray,CVT,FWD
2018 Jeep Wrangler JK Unlimited Rubicon,Jeep,2018,"$36,650","22,295",Black,Black,Automatic,4x4/4-wheel drive
2010 Ford Edge Limited,Ford,2010,"$8,895","85,593",White,Gray,Automatic,FWD
