Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2010 Jaguar XF Luxury,Jaguar,2010,"$11,988","55,122",Blue,White,Automatic,RWD
2017 BMW 330 i,BMW,2017,"$20,000","26,705",Silver,Black,Automatic,RWD
2017 Audi A4 2.0T Premium Plus,Audi,2017,"$25,961","8,079",Gray,Black,Automatic,FWD
2016 BMW 528 i,BMW,2016,"$16,995","56,569",Black,Black,Automatic,RWD
2015 Audi allroad 2.0T Premium Plus,Audi,2015,"$18,563","63,711",Blue,Black,Automatic,AWD
2019 Acura RDX A-Spec,Acura,2019,"$37,988","20,420",White,Black,Automatic,AWD
2017 Audi A4 2.0T Premium Plus,Audi,2017,"$23,900","30,999",Gray,Black,Automatic,AWD
2013 Maserati Quattroporte S,Maserati,2013,"$25,900","74,638",Black,Beige,Automatic,RWD
2018 Nissan Sentra SV,Nissan,2018,"$13,995","39,993",Red,Gray,CVT,FWD
2019 Dodge Grand Caravan GT,Dodge,2019,"$25,995","21,251",Silver,Black,Automatic,FWD
2017 BMW M240 i,BMW,2017,"$34,988","13,079",Silver,Black,Automatic,RWD
2018 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,2018,"$33,399","31,544",White,Beige,Automatic,AWD
2016 BMW X5 M Base,BMW,2016,"$51,981","46,905",Silver,Black,Automatic,AWD
2015 Jaguar XJ Base,Jaguar,2015,"$24,000","67,426",Black,Other,Automatic,RWD
2016 Jaguar XF 35t R-Sport,Jaguar,2016,"$25,990","29,967",Red,Black,Automatic,RWD
2014 BMW M5 Base,BMW,2014,"$36,988","51,880",White,Black,Automatic,RWD
2019 Audi S5 3.0T quattro Premium,Audi,2019,"$47,994","11,925",Gray,Black,Automatic,AWD
2018 Volvo XC90 T6 Momentum,Volvo,2018,"$35,994","28,599",White,Gray,Automatic,AWD
2016 BMW X1 xDrive 28i,BMW,2016,"$18,988","42,665",Brown,Beige,Automatic,AWD
2016 Audi Q5 3.0T Premium Plus,Audi,2016,"$23,894","52,003",White,Black,Automatic,AWD
2019 INFINITI QX80 Luxe,INFINITI,2019,"$43,990","28,211",White,Other,Automatic,AWD
2015 Mitsubishi Lancer Evolution MR,Mitsubishi,2015,"$32,500","28,175",White,Black,Automatic,AWD
2017 BMW X5 eDrive xDrive40e,BMW,2017,"$39,999","30,338",White,Black,Automatic,AWD
2017 Toyota Sienna L,Toyota,2017,"$22,005","33,265",White,Gray,Automatic,FWD
2017 Lexus ES 300h Base,Lexus,2017,"$28,990","17,975",Black,Beige,CVT,FWD
2017 Subaru Crosstrek 2.0i Premium,Subaru,2017,"$19,500","25,781",Gray,Black,Manual,AWD
2016 Mazda CX-5 Sport,Mazda,2016,"$13,284","61,033",Silver,Black,Automatic,FWD
2019 Nissan Sentra SR,Nissan,2019,"$13,500","33,135",Blue,Gray,Automatic,FWD
2019 RAM 1500 Laramie,RAM,2019,"$29,555","23,244",Gray,Other,Automatic,4x4/4-wheel drive
2012 Cadillac CTS-V Base,Cadillac,2012,"$42,500","15,858",Red,Gray,Automatic,RWD
2019 Ford Transit Connect XLT,Ford,2019,"$23,991","3,367",White,Black,Automatic,FWD
2019 Kia Sorento LX,Kia,2019,"$17,598","29,080",Other,Other,Automatic,FWD
2019 Honda HR-V Sport,Honda,2019,"$20,000","6,025",Black,Other,CVT,AWD
2018 Dodge Journey GT,Dodge,2018,"$14,642","39,593",White,Other,Automatic,FWD
2018 Subaru Legacy 2.5i Premium,Subaru,2018,"$16,489","30,438",Gray,White,CVT,AWD
2018 Chevrolet Tahoe LT,Chevrolet,2018,"$29,999","66,360",White,Other,Automatic,RWD
2017 Chrysler 300C Base,Chrysler,2017,"$16,988","31,235",Gray,Black,Automatic,RWD
2018 Chevrolet Equinox 1LT,Chevrolet,2018,"$15,881","35,126",White,Black,Automatic,FWD
