Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2012 Nissan Rogue S,Nissan,2012,"$10,495","45,487",Black,Black,CVT,AWD
2015 Volkswagen Golf S PZEV W/SUNROOF,Volkswagen,2015,"$11,900","28,109",White,Beige,Automatic,FWD
2016 BMW X1 xDrive 28i,BMW,2016,"$17,806","58,343",Gray,Black,Automatic,AWD
2003 Honda Civic EX,Honda,2003,"$3,495","152,515",Red,Beige,Automatic,FWD
2012 BMW 128 i,BMW,2012,"$10,497","103,120",Blue,Gray,Manual,RWD
2017 Ford Escape SE,Ford,2017,"$14,000","41,356",Black,Black,Automatic,4x4/4-wheel drive
2019 Audi Q3 2.0T Premium,Audi,2019,"$28,500","13,027",Black,Black,Automatic,AWD
2010 Honda Element EX,Honda,2010,"$10,995","113,927",Orange,Other,Automatic,4x4/4-wheel drive
2017 GMC Acadia Limited,GMC,2017,"$24,300","28,651",White,Black,Automatic,AWD
2009 Dodge Grand Caravan SE,Dodge,2009,"$3,995","161,236",White,Black,Automatic,FWD
2017 GMC Terrain SLE-1,GMC,2017,"$18,845","17,634",Gray,Gray,Automatic,AWD
2017 Toyota Highlander XLE,Toyota,2017,"$28,999","21,570",Green,Beige,Automatic,AWD
2012 Nissan Leaf SL,Nissan,2012,"$6,995","31,952",Red,Green,Automatic,FWD
2013 Chrysler Town & Country Touring,Chrysler,2013,"$8,199","106,058",Silver,Black,Automatic,FWD
2005 Cadillac DeVille DHS,Cadillac,2005,"$2,999","123,276",Silver,Other,Automatic,FWD
2017 Chevrolet Traverse 1LT,Chevrolet,2017,"$24,375","26,360",Black,Black,Automatic,AWD
2010 Buick LaCrosse CXL,Buick,2010,"$9,190","79,013",Black,Beige,Automatic,AWD
2017 INFINITI QX70 Base,INFINITI,2017,"$29,000","57,909",Gray,Other,Automatic,AWD
2017 Jeep Grand Cherokee Limited,Jeep,2017,"$20,690","66,539",Gray,Black,Automatic,4x4/4-wheel drive
2019 Cadillac XT4 Sport,Cadillac,2019,"$39,900","3,820",Blue,Black,Automatic,AWD
2014 Volkswagen Passat 1.8T S,Volkswagen,2014,"$5,995","102,675",Red,Black,Automatic,FWD
2017 Chevrolet Traverse LS,Chevrolet,2017,"$21,480","29,527",Silver,Gray,Automatic,AWD
2017 Toyota Highlander LE,Toyota,2017,"$21,990","43,819",Black,Gray,Automatic,AWD
2016 Ford Transit-150 XLT,Ford,2016,"$21,000","25,278",White,Gray,Automatic,RWD
2012 Dodge Journey R/T,Dodge,2012,"$7,998","113,028",Black,Black,Automatic,AWD
2009 Subaru Outback 2.5i Special Edition,Subaru,2009,"$7,498","96,829",White,Beige,Automatic,AWD
2018 Subaru Legacy 2.5i Sport,Subaru,2018,"$18,498","17,265",White,Gray,CVT,AWD
2007 Suzuki Forenza S,Suzuki,2007,"$3,500","96,156",Silver,Gray,Automatic,FWD
2019 Subaru Legacy,Subaru,2019,"$21,998","2,185",Silver,Black,CVT,AWD
2015 Buick Encore Leather,Buick,2015,"$16,881","18,439",Black,Gray,Automatic,AWD
2011 Kia Forte Koup EX,Kia,2011,"$4,999","98,787",Black,Other,Automatic,FWD
2015 Ford Transit-150 Base,Ford,2015,"$16,995","54,417",White,Gray,Automatic,RWD
2011 Honda Civic LX,Honda,2011,"$8,495","59,899",White,Gray,Automatic,FWD
2017 Ford Edge SEL,Ford,2017,"$21,977","28,475",White,Black,Automatic,AWD
2017 Honda Pilot Touring,Honda,2017,"$29,500","35,126",Blue,Other,Automatic,AWD
2010 Lexus IS 350C,Lexus,2010,"$14,490","86,119",Red,Black,Automatic,RWD
2013 Audi S4 3.0T Premium Plus,Audi,2013,"$21,797","74,297",Blue,Black,Automatic,AWD
2009 Audi Q7 4.2 Prestige,Audi,2009,"$10,499","83,298",Black,Black,Automatic,AWD
2018 Chevrolet Impala 1LT,Chevrolet,2018,"$14,678","49,695",White,Black,Automatic,FWD
2017 BMW 340 Gran Turismo i xDrive,BMW,2017,"$29,322","36,332",Black,Black,Automatic,AWD
