Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Subaru Forester 2.5i Premium,Subaru,2017,"$13,400","69,634",Silver,Gray,CVT,AWD
2017 BMW X3 sDrive28i,BMW,2017,"$25,990","20,202",Black,Black,Automatic,RWD
2017 Nissan Armada Platinum,Nissan,2017,"$31,888","48,490",White,Gray,Automatic,RWD
2018 INFINITI QX80 Base,INFINITI,2018,"$38,888","48,605",White,Gray,Automatic,RWD
2018 Hyundai Tucson SEL,Hyundai,2018,"$14,888","39,445",Silver,Gray,Automatic,AWD
2010 Toyota Tundra Grade,Toyota,2010,"$11,887","154,015",Black,Gray,Automatic,4x4/4-wheel drive
2018 Hyundai Tucson SEL,Hyundai,2018,"$13,988","38,323",White,Gray,Automatic,FWD
2019 Chevrolet Impala 1LT,Chevrolet,2019,"$16,988","27,601",White,Black,Automatic,FWD
2017 Jeep Compass Limited,Jeep,2017,"$17,457","49,397",White,Black,Automatic,4x4/4-wheel drive
2018 Dodge Journey Crossroad,Dodge,2018,"$17,900","40,888",Gray,Other,Automatic,FWD
2015 Lexus ES 350 Base,Lexus,2015,"$18,689","31,361",Beige,Other,Automatic,FWD
2019 Chrysler Pacifica Limited,Chrysler,2019,"$29,491","20,107",Silver,Other,Automatic,FWD
2005 Ford Taurus SE,Ford,2005,"$2,899","152,334",Green,Gray,Automatic,FWD
2018 Nissan Altima 2.5 SV,Nissan,2018,"$17,388","31,381",White,Beige,CVT,FWD
2020 Nissan Altima 2.5 S,Nissan,2020,"$21,288",25,Black,Gray,CVT,FWD
2019 Ford F-150 Lariat,Ford,2019,"$32,991","34,897",Black,Black,Automatic,RWD
2018 GMC Yukon XL Denali,GMC,2018,"$41,507","48,402",Gray,Black,Automatic,RWD
2017 Audi A8 L 3.0T,Audi,2017,"$34,900","44,475",Blue,Gray,Automatic,AWD
2017 Nissan Titan SV,Nissan,2017,"$23,991",717,White,Black,Automatic,RWD
2017 Buick LaCrosse Premium,Buick,2017,"$21,991","28,916",Red,Beige,Automatic,AWD
2018 Mercedes-Benz GLA 250 Base,Mercedes-Benz,2018,"$20,804","47,463",White,Black,Automatic,FWD
2013 Audi A5 2.0T Premium Plus quattro,Audi,2013,"$12,995","108,222",Gray,Brown,Automatic,AWD
2006 Ford Ranger XLT,Ford,2006,"$5,500","126,650",White,Black,Automatic,RWD
