Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2003 INFINITI FX45,INFINITI,2003,"$7,995","103,769",White,Beige,Automatic,AWD
2018 Toyota Tundra Limited,Toyota,2018,"$36,995","19,985",Brown,Beige,Automatic,4x4/4-wheel drive
2012 Nissan Sentra 2.0 S,Nissan,2012,"$4,000","122,653",Silver,Gray,CVT,FWD
2019 Lexus RX 350L Premium,Lexus,2019,"$42,798","15,935",Orange,Black,Automatic,FWD
2017 Nissan Sentra SR,Nissan,2017,"$13,000","38,063",Red,Gray,CVT,FWD
2017 Hyundai Elantra SE,Hyundai,2017,"$10,695","24,237",White,Beige,Automatic,FWD
2019 Ford Escape SE,Ford,2019,"$15,399","25,919",White,Black,Automatic,FWD
2016 Toyota Corolla S,Toyota,2016,"$12,385","33,834",Blue,Black,CVT,FWD
2014 RAM 2500 Laramie,RAM,2014,"$27,877","76,314",Silver,Black,Automatic,4x4/4-wheel drive
2011 Ford Flex SEL,Ford,2011,"$5,346","157,507",White,Black,Automatic,FWD
2016 Hyundai Elantra SE,Hyundai,2016,"$9,395","56,117",Blue,Beige,Automatic,FWD
2019 Chevrolet Impala 1LT,Chevrolet,2019,"$15,391","36,087",White,Black,Automatic,FWD
2009 Nissan Altima 2.5 S,Nissan,2009,"$3,888","172,179",White,Black,Automatic,FWD
2016 Volvo XC90 T6 Momentum,Volvo,2016,"$24,671","67,506",Blue,Beige,Automatic,AWD
2019 Dodge Grand Caravan GT,Dodge,2019,"$16,997","24,446",Gray,Black,Automatic,FWD
2019 Dodge Grand Caravan SXT,Dodge,2019,"$15,797","31,799",White,Black,Automatic,FWD
2017 MINI Convertible Cooper S,MINI,2017,"$18,490","30,142",Gray,Black,Automatic,FWD
2015 Dodge Grand Caravan AVP/SE,Dodge,2015,"$11,916","61,782",Red,Black,Automatic,FWD
2016 Chevrolet Cruze LS Automatic,Chevrolet,2016,"$8,886","43,282",Black,Black,Automatic,FWD
2017 Honda Accord Sport,Honda,2017,"$16,143","24,722",White,Black,CVT,FWD
2017 BMW 535 Gran Turismo i xDrive,BMW,2017,"$26,888","22,315",Black,Brown,Automatic,AWD
2012 Toyota Prius,Toyota,2012,"$5,990","133,214",White,Beige,CVT,FWD
2015 Dodge Dart SXT,Dodge,2015,"$6,499","52,923",Other,Black,Manual,FWD
2017 Toyota Corolla L,Toyota,2017,"$11,677","44,689",Silver,Gray,CVT,FWD
2016 Toyota Tundra SR5,Toyota,2016,"$21,891","68,220",Brown,Gray,Automatic,RWD
2018 Chevrolet Malibu LT,Chevrolet,2018,"$14,677","37,750",Silver,Black,Automatic,FWD
2016 Chrysler 300C Base,Chrysler,2016,"$11,991","78,024",Black,Black,Automatic,AWD
2018 Hyundai Elantra SEL,Hyundai,2018,"$10,989","39,532",Gray,Gray,Automatic,FWD
2018 Dodge Durango GT,Dodge,2018,"$23,677","45,516",Black,Black,Automatic,RWD
2019 GMC Yukon SLE,GMC,2019,"$37,000","12,646",Black,Black,Automatic,RWD
2018 Volvo XC90 T6 Momentum,Volvo,2018,"$34,900","21,404",Gray,Black,Automatic,AWD
2020 Chevrolet Malibu 1LS,Chevrolet,2020,"$15,700","11,110",Silver,Black,CVT,FWD
2019 MINI Countryman Cooper,MINI,2019,"$19,000","24,146",Gray,Other,Automatic,FWD
2019 Nissan Pathfinder SL,Nissan,2019,"$23,600","22,072",Silver,Black,CVT,FWD
2020 Chrysler Pacifica Limited,Chrysler,2020,"$31,400","15,238",Blue,Beige,Automatic,FWD
2019 Chrysler Pacifica Touring-L,Chrysler,2019,"$21,300","34,175",Silver,Other,Automatic,FWD
2018 Nissan Altima 2.5 S,Nissan,2018,"$13,100","37,462",Black,Gray,CVT,FWD
2018 Dodge Journey SE,Dodge,2018,"$14,000",38,Green,Other,Automatic,FWD
2018 Lexus IS 300,Lexus,2018,"$27,500","6,959",Black,Other,Automatic,RWD
2015 Hyundai Elantra Limited,Hyundai,2015,"$11,900","35,129",Gray,Black,Automatic,FWD
2017 Lexus RC 350 Base,Lexus,2017,"$29,800","24,215",White,Black,Automatic,RWD
2018 Dodge Journey SE,Dodge,2018,"$13,975","9,598",Silver,Black,Automatic,FWD
2017 MINI Convertible Cooper,MINI,2017,"$22,480","15,283",Gray,Gray,Automatic,FWD
2017 Lexus RX 450h,Lexus,2017,"$32,990","54,324",Silver,Black,CVT,AWD
2015 Chrysler Town & Country Touring-L,Chrysler,2015,"$16,590","59,851",Red,Black,Automatic,FWD
2017 Buick LaCrosse Premium,Buick,2017,"$21,990","24,087",Red,Other,Automatic,FWD
2017 GMC Terrain Denali,GMC,2017,"$18,998","37,871",Gray,Black,Automatic,FWD
2018 Hyundai Elantra SEL,Hyundai,2018,"$13,298","11,793",Black,Gray,Automatic,FWD
2017 BMW i3 94 Ah w/Range Extender,BMW,2017,"$19,998","17,448",White,Gray,Automatic,RWD
2019 Nissan Kicks SV,Nissan,2019,"$16,798","2,539",White,Gray,CVT,FWD
2016 MINI Countryman Cooper S,MINI,2016,"$17,790","29,988",Black,Black,Automatic,FWD
2018 Chevrolet Impala 2LZ,Chevrolet,2018,"$15,900","37,298",Black,Black,Automatic,FWD
2017 BMW 430 Gran Coupe i,BMW,2017,"$18,998","70,327",Silver,Beige,Automatic,RWD
2014 MINI Countryman Cooper S,MINI,2014,"$12,798","57,278",Blue,Black,Automatic,FWD
2017 Lexus ES 350 Base,Lexus,2017,"$20,997","37,552",Black,Black,Automatic,FWD
2016 Dodge Journey SE,Dodge,2016,"$8,995","86,578",Gray,Black,Automatic,FWD
2018 Land Rover Range Rover Velar P250 SE R-Dynamic,Land,2018,"$52,900","9,522",Gray,Black,Automatic,4x4/4-wheel drive
2017 Nissan Sentra SV,Nissan,2017,"$10,999","26,055",Black,Gray,CVT,FWD
2017 FIAT 500e Battery Electric,FIAT,2017,"$9,999","8,957",Gray,Black,Automatic,FWD
2018 Dodge Journey Crossroad,Dodge,2018,"$15,999","34,936",Black,Black,Automatic,AWD
2019 Cadillac XT4 Sport,Cadillac,2019,"$32,995","9,222",Gray,Other,Automatic,FWD
2019 Lexus NX 300 F Sport,Lexus,2019,"$30,388","30,762",Black,Red,Automatic,FWD
2019 BMW 530 i xDrive,BMW,2019,"$32,999","29,268",Black,Black,Automatic,AWD
2018 GMC Acadia SLE-1,GMC,2018,"$17,999","31,028",Blue,Black,Automatic,FWD
2017 Buick Encore Preferred,Buick,2017,"$12,999","31,720",White,Black,Automatic,AWD
2018 GMC Terrain SLT,GMC,2018,"$19,999","16,928",Black,Black,Automatic,FWD
2016 Lexus GX 460 Luxury,Lexus,2016,"$27,999","41,192",Silver,Beige,Automatic,4x4/4-wheel drive
2018 Ford Escape SEL,Ford,2018,"$15,994","23,118",Red,Red,Automatic,FWD
2017 Land Rover Range Rover Evoque SE Premium,Land,2017,"$31,984","7,777",Black,Black,Automatic,4x4/4-wheel drive
2016 Lexus NX 200t F Sport,Lexus,2016,"$19,994","32,486",Black,Black,Automatic,FWD
2018 Toyota Highlander LE,Toyota,2018,"$24,978","25,896",White,Other,Automatic,FWD
2017 Dodge Journey SXT,Dodge,2017,"$13,475","20,886",Gray,Black,Automatic,FWD
2018 Audi Q3 2.0T Premium,Audi,2018,"$20,000","35,554",Black,Black,Automatic,FWD
2013 Chevrolet Equinox LT,Chevrolet,2013,"$7,999","71,658",Gray,Black,Automatic,FWD
2016 GMC Terrain SLE-2,GMC,2016,"$13,224","49,846",Red,Black,Automatic,FWD
2017 Acura RDX Advance Package,Acura,2017,"$18,845","43,194",Silver,Gray,Automatic,FWD
