Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2016 Kia Sportage SX,Kia,2016,"$20,999.00","15,604",Red,Black,Automatic,AWD
2010 Mercedes-Benz E 550 4MATIC,Mercedes-Benz,2010,"$9,995.00","118,508",Gray,Black,Automatic,AWD
2011 Jeep Wrangler Unlimited Sport,Jeep,2011,"$19,995.00","48,228",Orange,Black,Automatic,4x4/4-wheel drive
2016 Dodge Grand Caravan AVP/SE,Dodge,2016,"$15,795.00","69,316",Gray,Other,Automatic,FWD
2012 Subaru Outback 2.5i Premium,Subaru,2012,"$6,900.00","97,680",Red,Black,CVT,AWD
2017 Honda Accord LX,Honda,2017,"$14,522.00","14,319",Beige,White,CVT,FWD
2020 BMW X5 xDrive40i,BMW,2020,"$57,290.00","4,110",Blue,Brown,Automatic,AWD
2016 Audi S6 4.0T quattro Premium Plus,Audi,2016,"$32,999.00","54,313",Other,Black,Automatic,AWD
2003 INFINITI I35,INFINITI,2003,"$4,995.00","121,453",Blue,Other,Automatic,FWD
2007 Mercury Mariner Premier,Mercury,2007,"$3,200.00","154,000",Brown,Brown,Automatic,4x4/4-wheel drive
2019 Toyota RAV4 Adventure,Toyota,2019,"$29,988.00","3,256",Brown,Black,Automatic,AWD
2019 Hyundai Santa Fe SE 2.4,Hyundai,2019,"$21,999.00","14,911",Silver,Black,Automatic,AWD
2018 Nissan Altima 2.5 SV,Nissan,2018,"$14,588.00","31,282",Blue,Gray,CVT,FWD
2017 INFINITI Q60 3.0T Premium,INFINITI,2017,"$27,980.00","17,730",White,Gray,Automatic,AWD
2017 Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz,2017,"$22,450.00","13,611",White,Black,Automatic,AWD
2019 Hyundai Santa Fe SE 2.4,Hyundai,2019,"$21,570.00","10,351",Brown,Black,Automatic,AWD
2016 Audi Q3 2.0T Prestige,Audi,2016,"$18,750.00","46,104",White,Brown,Automatic,AWD
2017 Audi Q5 2.0T Premium Plus,Audi,2017,"$22,980.00","37,361",Black,Black,Automatic,AWD
2017 Chevrolet Tahoe LT,Chevrolet,2017,"$37,492.00","43,642",Black,Black,Automatic,4x4/4-wheel drive
2016 GMC Terrain SLE-1,GMC,2016,"$12,899.00","53,162",Blue,Black,Automatic,AWD
2017 Ford Escape S,Ford,2017,"$12,682.00","27,125",Silver,Black,Automatic,FWD
2004 Mazda RX-8 Sport Automatic,Mazda,2004,"$8,900.00","90,365",Blue,Black,Automatic,RWD
2017 Chrysler Pacifica Touring,Chrysler,2017,"$17,225.00","60,820",Silver,Black,Automatic,FWD
2017 GMC Acadia SLE-1,GMC,2017,"$20,101.00","18,417",Blue,Black,Automatic,AWD
2017 Mazda CX-3 Sport,Mazda,2017,"$15,173.00","19,030",Blue,Black,Automatic,AWD
2019 Nissan Sentra SV,Nissan,2019,"$13,700.00","17,077",Gray,Gray,CVT,FWD
2016 Honda Odyssey Touring Elite,Honda,2016,"$19,995.00","78,036",Brown,Gray,Automatic,FWD
2015 Hyundai Elantra SE,Hyundai,2015,"$7,999.00","53,224",Gray,Gray,Automatic,FWD
2019 Nissan Sentra S,Nissan,2019,"$13,990.00","4,942",White,Gray,CVT,FWD
2019 Hyundai Elantra SEL,Hyundai,2019,"$12,795.00","22,142",White,Black,Automatic,FWD
2017 Nissan Sentra SV,Nissan,2017,"$10,842.00","41,092",Silver,Gray,CVT,FWD
2014 Nissan Pathfinder S,Nissan,2014,"$12,600.00","54,334",Silver,Gray,CVT,4x4/4-wheel drive
2017 Ford Transit Connect XL,Ford,2017,"$11,995.00","62,451",Black,Other,Automatic,FWD
2000 Mercury Grand Marquis GS,Mercury,2000,"$3,499.00","83,020",Gold,Gray,Automatic,RWD
2018 GMC Sierra 1500 Base,GMC,2018,"$25,995.00","29,353",White,Gray,Automatic,4x4/4-wheel drive
2015 BMW 428 i xDrive,BMW,2015,"$18,990.00","37,290",Black,Black,Automatic,AWD
2013 Volkswagen Jetta SportWagen TDI,Volkswagen,2013,"$9,495.00","47,223",Gray,Other,Automatic,FWD
2019 Nissan Frontier PRO-4X,Nissan,2019,"$24,775.00","9,991",Black,Black,Automatic,4x4/4-wheel drive
2017 Nissan Pathfinder S,Nissan,2017,"$17,495.00","30,319",Black,Gray,CVT,4x4/4-wheel drive
2018 RAM 1500 Rebel,RAM,2018,"$34,775.00","23,918",Black,Black,Automatic,4x4/4-wheel drive
2014 Chrysler 200 Touring,Chrysler,2014,"$8,990.00","75,860",Red,Black,Automatic,FWD
2010 Ford Escape Limited,Ford,2010,"$9,990.00","57,599",Gold,Beige,Automatic,4x4/4-wheel drive
2010 Chevrolet Colorado 1LT,Chevrolet,2010,"$14,990.00","43,182",Blue,Gray,Automatic,4x4/4-wheel drive
2014 Ford Explorer Sport,Ford,2014,"$16,495.00","80,447",Black,Other,Automatic,4x4/4-wheel drive
2019 Chrysler 300 Limited,Chrysler,2019,"$19,000.00","11,529",Red,Gold,Automatic,RWD
2016 Chevrolet Equinox LT,Chevrolet,2016,"$12,995.00","50,938",Blue,Beige,Automatic,AWD
2013 Dodge Durango Citadel,Dodge,2013,"$18,500.00","67,988",Black,Black,Automatic,AWD
2013 Ford Focus ST Base,Ford,2013,"$12,995.00","70,112",Orange,Gray,Manual,FWD
2017 Toyota Highlander LE,Toyota,2017,"$24,890.00","25,419",Green,Gray,Automatic,AWD
2017 GMC Acadia Limited Limited,GMC,2017,"$22,495.00","41,446",White,Black,Automatic,AWD
2017 BMW 440 i xDrive,BMW,2017,"$26,450.00","43,849",White,Black,Automatic,AWD
2018 Dodge Journey Crossroad,Dodge,2018,"$18,000.00","14,415",Black,Black,Automatic,AWD
2010 Chevrolet Avalanche LTZ,Chevrolet,2010,"$13,795.00","116,348",Silver,Black,Automatic,4x4/4-wheel drive
2000 Toyota Corolla LE,Toyota,2000,"$2,500.00","114,100",Brown,Beige,Automatic,FWD
2007 BMW 550 i,BMW,2007,"$6,995.00","98,837",Black,Other,Automatic,RWD
2015 Chevrolet Suburban 1500 LTZ,Chevrolet,2015,"$29,995.00","73,353",White,Gray,Automatic,4x4/4-wheel drive
2016 Audi A6 3.0T Premium Plus,Audi,2016,"$20,795.00","23,124",Blue,Beige,Automatic,AWD
2018 Nissan Rogue,Nissan,2018,"$14,900.00","43,016",Silver,Black,CVT,AWD
2011 BMW 128 i,BMW,2011,"$8,990.00","66,326",Silver,Beige,Automatic,RWD
2017 Subaru Forester 2.5i,Subaru,2017,"$17,595.00","23,864",White,Gray,CVT,AWD
2018 Volkswagen Golf Alltrack TSI SE,Volkswagen,2018,"$23,469.00","9,936",Green,Other,Automatic,AWD
2018 Nissan Altima 2.5 SR,Nissan,2018,"$16,200.00","28,227",White,Blue,CVT,FWD
2015 Chrysler 200 S,Chrysler,2015,"$10,995.00","84,519",Black,Black,Automatic,AWD
2019 Acura MDX 3.5L,Acura,2019,"$34,900.00","20,015",Black,Black,Automatic,AWD
2019 Volkswagen Atlas 3.6 V6 SE R-Line,Volkswagen,2019,"$32,993.00","23,094",Gray,Black,Automatic,AWD
2017 INFINITI QX60 Base,INFINITI,2017,"$28,998.00","14,151",Blue,Gray,CVT,AWD
2015 Chevrolet Equinox 2LT,Chevrolet,2015,"$13,177.00","44,944",Black,Black,Automatic,AWD
2015 Jaguar XF 3.0 Sport,Jaguar,2015,"$18,850.00","53,087",White,Other,Automatic,RWD
2015 Chevrolet Spark 1LT,Chevrolet,2015,"$9,922.00","36,176",Black,Silver,CVT,FWD
2017 INFINITI Q60 3.0T Red Sport 400,INFINITI,2017,"$38,888.00","29,816",Red,White,Automatic,AWD
2017 BMW 230 i xDrive,BMW,2017,"$23,995.00","30,567",Blue,Black,Automatic,AWD
2018 BMW X3 xDrive30i,BMW,2018,"$29,995.00","8,737",White,Black,Automatic,AWD
2020 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,2020,"$48,800.00","3,545",White,Black,Automatic,AWD
2009 Lexus IS 250,Lexus,2009,"$8,900.00","101,969",Black,Black,Automatic,AWD
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz,2019,"$45,995.00","19,158",Black,Black,Automatic,AWD
2017 BMW 440 i xDrive,BMW,2017,"$32,991.00","22,840",Blue,Beige,Automatic,AWD
2017 BMW X6 M Base,BMW,2017,"$46,800.00","61,878",Blue,Brown,Automatic,AWD
2016 Mazda Mazda6 i Grand Touring,Mazda,2016,"$17,251.00","30,851",Blue,Beige,Automatic,FWD
2019 Ford Edge ST,Ford,2019,"$36,900.00","9,487",Gray,Black,Automatic,AWD
2017 Audi Q3 2.0T Premium Plus,Audi,2017,"$18,500.00","79,475",Black,Black,Automatic,AWD
2017 Toyota Highlander LE,Toyota,2017,"$26,445.00","19,689",White,Gray,Automatic,AWD
2014 Jeep Grand Cherokee Limited,Jeep,2014,"$18,817.00","54,128",Black,Black,Automatic,4x4/4-wheel drive
